Property,Unit,Meaning,Formula/Calculation,Inputs,Gating/Validity,Clamping/Bds,Update cadence,Code location,Edge cases/Notes
"LalaLaunch.Fuel.IsPitWindowOpen","Bool","Whether a single-stop plan can pit now for requested add.","For one-stop strategy with refuel selected: if TankSpaceAvailable >= requestedAddLitres then true; else lapsToOpen = ceil((requestedAddLitres - tankSpace)/LiveFuelPerLap); PitWindowOpeningLap = currentLap + lapsToOpen.","FuelCalculator.RequiredPitStops; refuel selection; requestedAddLitres; Fuel.Pit.TankSpaceAvailable; Fuel.LiveFuelPerLap; completed lap count.","Only for exactly one required stop and refuel selected.","PitWindowOpeningLap capped via ceil math; booleans otherwise.","500 ms fuel tick.","UpdateLiveFuelCalcs (~1723–1751).","" 
"LalaLaunch.Fuel.PitWindowOpeningLap","Lap number","Projected lap when pit window opens for one-stop plan.","currentLap + lapsToOpen computed from requestedAddLitres and TankSpaceAvailable when window closed.","Completed laps; requestedAddLitres; Fuel.Pit.TankSpaceAvailable; Fuel.LiveFuelPerLap.","Only relevant when IsPitWindowOpen is false for one-stop refuel strategy.","Derived from ceil math; non-negative.","500 ms fuel tick.","UpdateLiveFuelCalcs (~1723–1751).","" 
"LalaLaunch.Fuel.Live.RefuelRate_Lps","L/s","Effective refuel rate (profile or measured).","From FuelCalcs.EffectiveRefuelRateLps with no further math in LalaLaunch.cs.","FuelCalcs measured refuel events (_refuelStartFuel/_refuelLastFuel) and profile overrides.","0 when unknown.","Implicit non-negative.","Published each tick.","LalaLaunch.cs attach (~2101); FuelCalcs (~2740–2795).","" 
"LalaLaunch.Fuel.Live.TireChangeTime_S","Seconds","Box time for tyre change if any tyre selected.","FuelCalculator.TireChangeTime when any tyre flag set; else 0; negatives clamped to 0.","Telemetry dpLFTireChange/dpRFTireChange/dpLRTireChange/dpRRTireChange; FuelCalcs tyre time.","Assumes tyre change selected when telemetry missing (treated as true).","Clamp min 0.","500 ms fuel tick.","GetEffectiveTireChangeTimeSeconds (~3058–3085).","" 
"LalaLaunch.Fuel.Live.PitLaneLoss_S","Seconds","Latest pit-lane travel time loss (DTL) used for planning.","Direct exposure of FuelCalculator.PitLaneTimeLoss (PitEngine).","PitEngine measurements (LastTotalPitCycleTimeLoss etc.).","0 when not measured.","None.","500 ms fuel tick.","LalaLaunch.cs attach (~2103); PitEngine.cs (~1–200).","" 
"LalaLaunch.Fuel.Live.TotalStopLoss","Seconds","Expected total time loss for next stop including lane and box.","pitLaneLoss + max(fuelTime, tireTime) where fuelTime = WillAdd / refuelRate when both >0; tireTime from GetEffectiveTireChangeTimeSeconds; guarded for NaN/negatives.","FuelCalculator.PitLaneTimeLoss; Fuel.Pit.WillAdd; Fuel.Live.RefuelRate_Lps; tyre selection/time.","Requires pit lane loss and refuel/tire selections; zeros otherwise.","Negative/NaN clamped to 0.","500 ms fuel tick.","CalculateTotalStopLossSeconds (~3094–3130).","" 
"LalaLaunch.Fuel.Live.DriveTimeAfterZero","Seconds","Projected drive time once race clock hits zero (overrun estimate).","EstimateDriveTimeAfterZero(sessionTime, sessionTimeRemain, lapSeconds, strategyProjection, timerZeroSeen, timerZeroSessionTime); max of observed after-zero, strategy projection, and lap time floor.","Session time/remaining telemetry; GetProjectionLapSeconds; FuelCalculator.StrategyDriverExtraSecondsAfterZero; timer-zero tracking.","Uses 0 when telemetry missing.","Implicit max with floor lap time; non-negative.","500 ms fuel tick.","UpdateLiveFuelCalcs (~1604–1620); FuelProjectionMath.cs (~8–41).","" 
"LalaLaunch.Fuel.Live.ProjectedDriveSecondsRemaining","Seconds","Wall-clock drive time expected to finish, including overrun.","max(sessionTimeRemain,0) + max(DriveTimeAfterZero,0) from FuelProjectionMath.ProjectLapsRemaining.","Session time remaining telemetry; Fuel.Live.DriveTimeAfterZero; lap pace.","0 when projection invalid.","Non-negative via max().","500 ms fuel tick.","ComputeProjectedLapsRemaining (~3185–3201); FuelProjectionMath (~23–49).","" 
"LalaLaunch.Fuel.Pit.LiveCarMaxFuel","Litres","Effective tank size used for pit math and display (BoP or override).","LiveCarMaxFuel = GameData.MaxFuel * DriverCarMaxFuelPct; overrides via FuelCalculator.MaxFuelOverride/suggestions; Live value pushed to FuelCalculator UI when changed.","Telemetry DataCorePlugin.GameData.MaxFuel; DriverInfo.DriverCarMaxFuelPct; FuelCalculator.MaxFuelOverride.","0 if no capacity info.","Announced only when changed >0.01 L.","500 ms data update loop.","DataUpdate loop (~2819–2833); UI update (~2521–2531).","" 
"LalaLaunch.Fuel.LastPitLaneTravelTime","Seconds","Last measured direct pit-lane travel (no stop) for dashboards.","Exposes _pit.LastDirectTravelTime captured after out-lap completes.","PitEngine lap timing via FinalizePaceDeltaCalculation.","Only updates after pit cycle completion.","None.","On pit cycle completion (lap crossing).","UpdateLiveFuelCalcs (~1043–1189); attach (~2301).","" 
